Depth (ft),Weight on bit (k-lbs),Temperature Out (deg F),Temperature In(deg F),Pit Total (bbls),Pump Pressure (psi),Hook load (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (gal/min),Flow Out Percentage (%),ROP (ft/hr)
237.7,0.0,98.18,96.63,201.28,440.08,55.33,7.94,0.0,1052.41,95.95,225.36
238.73,0.0,98.29,96.63,200.99,438.18,56.47,7.98,0.0,1050.99,96.02,206.59
239.74,0.0,98.4,96.7,200.52,438.56,56.25,7.98,0.0,1050.78,96.98,106.42
240.8,0.0,98.56,96.7,200.24,436.27,57.24,7.98,0.0,1047.12,96.25,425.68
241.8,0.0,98.67,96.74,200.1,439.32,57.92,7.98,0.0,1050.17,97.23,360.58
242.83,0.0,98.56,96.82,199.07,440.46,48.39,7.98,0.0,1048.54,97.26,97.86
243.87,0.0,98.56,96.86,199.01,441.23,43.28,7.98,0.0,1047.53,98.44,95.35
244.87,0.0,98.4,96.93,199.02,440.08,48.77,7.98,0.0,1044.68,97.35,200.32
245.9,0.0,98.79,96.97,198.8,441.61,48.7,7.94,0.0,1047.93,98.63,109.32
246.9,0.0,98.75,97.05,197.36,438.18,53.88,7.98,0.0,1045.09,98.61,83.86
247.94,0.0,98.75,97.05,196.94,441.61,51.14,7.94,0.0,1047.73,97.95,218.74
248.94,0.0,98.9,97.09,196.52,442.37,53.2,7.98,0.0,1045.69,97.77,133.55
249.94,0.0,98.9,97.09,196.51,443.13,54.8,7.98,0.0,1048.13,98.37,148.74
250.97,0.0,98.82,97.12,196.34,441.61,50.37,8.02,0.0,1046.1,98.7,148.74
251.97,0.0,99.05,97.12,196.15,437.79,52.59,7.98,0.0,1042.65,98.26,94.89
253.01,0.0,99.09,97.16,195.91,436.27,50.91,8.02,0.0,1043.46,96.65,177.08
254.01,0.0,99.01,97.16,195.7,437.41,43.21,8.02,0.0,1040.2,96.7,161.67
255.15,0.0,100.58,98.46,186.15,424.83,55.18,8.89,0.0,1020.85,88.0,136.15
256.22,0.0,100.77,98.53,185.45,423.31,61.81,8.93,0.0,1022.47,85.14,91.22
259.12,0.0,98.82,98.53,182.53,438.56,68.83,9.58,0.0,1036.92,102.03,521.14
260.12,0.0,98.86,98.57,182.51,437.41,69.28,9.58,0.0,1036.92,102.94,428.18
261.31,0.0,98.86,98.61,182.48,439.32,70.43,9.62,0.0,1034.68,102.64,475.77
262.32,0.0,98.9,98.73,182.46,439.7,67.0,9.58,0.0,1034.89,100.87,277.37
263.51,0.0,99.09,99.07,181.73,434.74,68.45,9.62,0.0,1035.09,99.26,67.0
264.54,0.0,99.09,99.3,181.7,443.89,49.08,9.62,0.0,1042.4,97.88,70.16
